,variable,value
1005,18歳未満人員(人),0.63
1006,18歳未満人員(人),0.64
1007,18歳未満人員(人),0.63
1008,18歳未満人員(人),0.63
1009,18歳未満人員(人),0.64
1010,18歳未満人員(人),0.64
1011,18歳未満人員(人),0.64
1012,18歳未満人員(人),0.65
1013,18歳未満人員(人),0.65
1014,18歳未満人員(人),0.65
1015,18歳未満人員(人),0.65
1016,18歳未満人員(人),0.65
1017,18歳未満人員(人),0.65
1018,18歳未満人員(人),0.66
1019,18歳未満人員(人),0.66
1020,18歳未満人員(人),0.66
1021,18歳未満人員(人),0.65
1022,18歳未満人員(人),0.64
1023,18歳未満人員(人),0.65
1024,18歳未満人員(人),0.64
1025,18歳未満人員(人),0.63
1026,18歳未満人員(人),0.63
1027,18歳未満人員(人),0.63
1028,18歳未満人員(人),0.63
1029,18歳未満人員(人),0.63
1030,18歳未満人員(人),0.64
1031,18歳未満人員(人),0.64
1032,18歳未満人員(人),0.64
1033,18歳未満人員(人),0.64
1034,18歳未満人員(人),0.64
1035,18歳未満人員(人),0.64
1036,18歳未満人員(人),0.63
1037,18歳未満人員(人),0.64
1038,18歳未満人員(人),0.64
1039,18歳未満人員(人),0.63
1040,18歳未満人員(人),0.64
1041,18歳未満人員(人),0.65
1042,18歳未満人員(人),0.66
1043,18歳未満人員(人),0.66
1044,18歳未満人員(人),0.66
1045,18歳未満人員(人),0.66
1046,18歳未満人員(人),0.66
1047,18歳未満人員(人),0.66
1048,18歳未満人員(人),0.65
1049,18歳未満人員(人),0.65
1050,18歳未満人員(人),0.64
1051,18歳未満人員(人),0.64
1052,18歳未満人員(人),0.65
1053,18歳未満人員(人),0.64
1054,18歳未満人員(人),0.64
1055,18歳未満人員(人),0.64
1056,18歳未満人員(人),0.64
1057,18歳未満人員(人),0.64
1058,18歳未満人員(人),0.63
1059,18歳未満人員(人),0.63
1060,18歳未満人員(人),0.63
1061,18歳未満人員(人),0.63
1062,18歳未満人員(人),0.63
1063,18歳未満人員(人),0.63
1064,18歳未満人員(人),0.63
1065,18歳未満人員(人),0.62
1066,18歳未満人員(人),0.62
1067,18歳未満人員(人),0.62
1068,18歳未満人員(人),0.63
1069,18歳未満人員(人),0.63
1070,18歳未満人員(人),0.63
1071,18歳未満人員(人),0.63
1072,18歳未満人員(人),0.63
1073,18歳未満人員(人),0.63
1074,18歳未満人員(人),0.61
1075,18歳未満人員(人),0.61
1076,18歳未満人員(人),0.61
1077,18歳未満人員(人),0.62
1078,18歳未満人員(人),0.62
1079,18歳未満人員(人),0.64
1080,18歳未満人員(人),0.63
1081,18歳未満人員(人),0.62
1082,18歳未満人員(人),0.62
1083,18歳未満人員(人),0.61
1084,18歳未満人員(人),0.61
1085,18歳未満人員(人),0.6
1086,18歳未満人員(人),0.59
1087,18歳未満人員(人),0.59
1088,18歳未満人員(人),0.58
1089,18歳未満人員(人),0.59
1090,18歳未満人員(人),0.58
1091,18歳未満人員(人),0.6
1092,18歳未満人員(人),0.6
1093,18歳未満人員(人),0.6
1094,18歳未満人員(人),0.59
1095,18歳未満人員(人),0.6
1096,18歳未満人員(人),0.6
1097,18歳未満人員(人),0.58
1098,18歳未満人員(人),0.58
1099,18歳未満人員(人),0.59
1100,18歳未満人員(人),0.59
1101,18歳未満人員(人),0.58
1102,18歳未満人員(人),0.59
1103,18歳未満人員(人),0.59
1104,18歳未満人員(人),0.59
1105,18歳未満人員(人),0.59
1106,18歳未満人員(人),0.58
1107,18歳未満人員(人),0.58
1108,18歳未満人員(人),0.59
1109,18歳未満人員(人),0.59
1110,18歳未満人員(人),0.6
1111,18歳未満人員(人),0.59
1112,18歳未満人員(人),0.6
1113,18歳未満人員(人),0.59
1114,18歳未満人員(人),0.59
1115,18歳未満人員(人),0.59
1116,18歳未満人員(人),0.58
1117,18歳未満人員(人),0.57
1118,18歳未満人員(人),0.57
1119,18歳未満人員(人),0.59
1120,18歳未満人員(人),0.59
1121,18歳未満人員(人),0.58
1122,18歳未満人員(人),0.58
1123,18歳未満人員(人),0.57
1124,18歳未満人員(人),0.57
1125,18歳未満人員(人),0.56
1126,18歳未満人員(人),0.55
1127,18歳未満人員(人),0.55
1128,18歳未満人員(人),0.55
1129,18歳未満人員(人),0.55
1130,18歳未満人員(人),0.55
1131,18歳未満人員(人),0.56
1132,18歳未満人員(人),0.56
1133,18歳未満人員(人),0.55
1134,18歳未満人員(人),0.56
1135,18歳未満人員(人),0.57
1136,18歳未満人員(人),0.57
1137,18歳未満人員(人),0.56
1138,18歳未満人員(人),0.56
1139,18歳未満人員(人),0.56
1140,18歳未満人員(人),0.55
1141,18歳未満人員(人),0.54
1142,18歳未満人員(人),0.54
1143,18歳未満人員(人),0.54
1144,18歳未満人員(人),0.55
1145,18歳未満人員(人),0.55
1146,18歳未満人員(人),0.55
1147,18歳未満人員(人),0.54
1148,18歳未満人員(人),0.55
1149,18歳未満人員(人),0.55
1150,18歳未満人員(人),0.55
1151,18歳未満人員(人),0.55
1152,18歳未満人員(人),0.55
1153,18歳未満人員(人),0.55
1154,18歳未満人員(人),0.55
1155,18歳未満人員(人),0.54
1156,18歳未満人員(人),0.55
1157,18歳未満人員(人),0.55
1158,18歳未満人員(人),0.56
1159,18歳未満人員(人),0.56
1160,18歳未満人員(人),0.56
1161,18歳未満人員(人),0.57
1162,18歳未満人員(人),0.58
1163,18歳未満人員(人),0.59
1164,18歳未満人員(人),0.58
1165,18歳未満人員(人),0.59
1166,18歳未満人員(人),0.59
1167,18歳未満人員(人),0.59
1168,18歳未満人員(人),0.58
1169,18歳未満人員(人),0.57
1170,65歳以上人員(人),0.52
1171,65歳以上人員(人),0.53
1172,65歳以上人員(人),0.53
1173,65歳以上人員(人),0.52
1174,65歳以上人員(人),0.52
1175,65歳以上人員(人),0.53
1176,65歳以上人員(人),0.54
1177,65歳以上人員(人),0.53
1178,65歳以上人員(人),0.53
1179,65歳以上人員(人),0.54
1180,65歳以上人員(人),0.55
1181,65歳以上人員(人),0.55
1182,65歳以上人員(人),0.56
1183,65歳以上人員(人),0.57
1184,65歳以上人員(人),0.57
1185,65歳以上人員(人),0.58
1186,65歳以上人員(人),0.57
1187,65歳以上人員(人),0.56
1188,65歳以上人員(人),0.57
1189,65歳以上人員(人),0.57
1190,65歳以上人員(人),0.57
1191,65歳以上人員(人),0.56
1192,65歳以上人員(人),0.55
1193,65歳以上人員(人),0.57
1194,65歳以上人員(人),0.55
1195,65歳以上人員(人),0.57
1196,65歳以上人員(人),0.58
1197,65歳以上人員(人),0.58
1198,65歳以上人員(人),0.58
1199,65歳以上人員(人),0.58
1200,65歳以上人員(人),0.58
1201,65歳以上人員(人),0.59
1202,65歳以上人員(人),0.58
1203,65歳以上人員(人),0.58
1204,65歳以上人員(人),0.58
1205,65歳以上人員(人),0.58
1206,65歳以上人員(人),0.58
1207,65歳以上人員(人),0.59
1208,65歳以上人員(人),0.59
1209,65歳以上人員(人),0.59
1210,65歳以上人員(人),0.59
1211,65歳以上人員(人),0.59
1212,65歳以上人員(人),0.59
1213,65歳以上人員(人),0.59
1214,65歳以上人員(人),0.6
1215,65歳以上人員(人),0.6
1216,65歳以上人員(人),0.61
1217,65歳以上人員(人),0.61
1218,65歳以上人員(人),0.6
1219,65歳以上人員(人),0.6
1220,65歳以上人員(人),0.6
1221,65歳以上人員(人),0.6
1222,65歳以上人員(人),0.59
1223,65歳以上人員(人),0.58
1224,65歳以上人員(人),0.59
1225,65歳以上人員(人),0.6
1226,65歳以上人員(人),0.59
1227,65歳以上人員(人),0.59
1228,65歳以上人員(人),0.59
1229,65歳以上人員(人),0.61
1230,65歳以上人員(人),0.6
1231,65歳以上人員(人),0.62
1232,65歳以上人員(人),0.62
1233,65歳以上人員(人),0.62
1234,65歳以上人員(人),0.63
1235,65歳以上人員(人),0.62
1236,65歳以上人員(人),0.63
1237,65歳以上人員(人),0.63
1238,65歳以上人員(人),0.62
1239,65歳以上人員(人),0.62
1240,65歳以上人員(人),0.62
1241,65歳以上人員(人),0.62
1242,65歳以上人員(人),0.63
1243,65歳以上人員(人),0.62
1244,65歳以上人員(人),0.63
1245,65歳以上人員(人),0.63
1246,65歳以上人員(人),0.64
1247,65歳以上人員(人),0.64
1248,65歳以上人員(人),0.63
1249,65歳以上人員(人),0.64
1250,65歳以上人員(人),0.63
1251,65歳以上人員(人),0.64
1252,65歳以上人員(人),0.64
1253,65歳以上人員(人),0.65
1254,65歳以上人員(人),0.66
1255,65歳以上人員(人),0.66
1256,65歳以上人員(人),0.68
1257,65歳以上人員(人),0.67
1258,65歳以上人員(人),0.68
1259,65歳以上人員(人),0.67
1260,65歳以上人員(人),0.67
1261,65歳以上人員(人),0.68
1262,65歳以上人員(人),0.67
1263,65歳以上人員(人),0.66
1264,65歳以上人員(人),0.66
1265,65歳以上人員(人),0.66
1266,65歳以上人員(人),0.65
1267,65歳以上人員(人),0.65
1268,65歳以上人員(人),0.66
1269,65歳以上人員(人),0.66
1270,65歳以上人員(人),0.66
1271,65歳以上人員(人),0.67
1272,65歳以上人員(人),0.66
1273,65歳以上人員(人),0.66
1274,65歳以上人員(人),0.65
1275,65歳以上人員(人),0.65
1276,65歳以上人員(人),0.64
1277,65歳以上人員(人),0.64
1278,65歳以上人員(人),0.65
1279,65歳以上人員(人),0.65
1280,65歳以上人員(人),0.64
1281,65歳以上人員(人),0.65
1282,65歳以上人員(人),0.65
1283,65歳以上人員(人),0.66
1284,65歳以上人員(人),0.67
1285,65歳以上人員(人),0.67
1286,65歳以上人員(人),0.67
1287,65歳以上人員(人),0.67
1288,65歳以上人員(人),0.67
1289,65歳以上人員(人),0.66
1290,65歳以上人員(人),0.66
1291,65歳以上人員(人),0.65
1292,65歳以上人員(人),0.66
1293,65歳以上人員(人),0.67
1294,65歳以上人員(人),0.68
1295,65歳以上人員(人),0.69
1296,65歳以上人員(人),0.69
1297,65歳以上人員(人),0.68
1298,65歳以上人員(人),0.68
1299,65歳以上人員(人),0.68
1300,65歳以上人員(人),0.67
1301,65歳以上人員(人),0.68
1302,65歳以上人員(人),0.67
1303,65歳以上人員(人),0.68
1304,65歳以上人員(人),0.69
1305,65歳以上人員(人),0.68
1306,65歳以上人員(人),0.69
1307,65歳以上人員(人),0.69
1308,65歳以上人員(人),0.71
1309,65歳以上人員(人),0.71
1310,65歳以上人員(人),0.7
1311,65歳以上人員(人),0.7
1312,65歳以上人員(人),0.7
1313,65歳以上人員(人),0.7
1314,65歳以上人員(人),0.7
1315,65歳以上人員(人),0.71
1316,65歳以上人員(人),0.71
1317,65歳以上人員(人),0.72
1318,65歳以上人員(人),0.72
1319,65歳以上人員(人),0.73
1320,65歳以上人員(人),0.72
1321,65歳以上人員(人),0.73
1322,65歳以上人員(人),0.73
1323,65歳以上人員(人),0.73
1324,65歳以上人員(人),0.73
1325,65歳以上人員(人),0.73
1326,65歳以上人員(人),0.73
1327,65歳以上人員(人),0.74
1328,65歳以上人員(人),0.74
1329,65歳以上人員(人),0.74
1330,65歳以上人員(人),0.74
1331,65歳以上人員(人),0.76
1332,65歳以上人員(人),0.78
1333,65歳以上人員(人),0.77
1334,65歳以上人員(人),0.76
1335,65歳以上人員(人),0.77
1336,65歳以上人員(人),0.78
1337,65歳以上人員(人),0.77
1338,65歳以上人員(人),0.75
1339,65歳以上人員(人),0.76
1340,65歳以上人員(人),0.77
1341,65歳以上人員(人),0.79
1342,65歳以上人員(人),0.79
1343,65歳以上人員(人),0.79
1344,65歳以上人員(人),0.78
1345,65歳以上人員(人),0.79
1346,65歳以上人員(人),0.79
1347,65歳以上人員(人),0.79
1348,65歳以上人員(人),0.79
1349,65歳以上人員(人),0.79
1350,65歳以上人員(人),0.8
1351,65歳以上人員(人),0.81
1352,65歳以上人員(人),0.8
1353,65歳以上人員(人),0.81
1354,65歳以上人員(人),0.82
1355,65歳以上人員(人),0.81
1356,65歳以上人員(人),0.83
1357,65歳以上人員(人),0.83
1358,65歳以上人員(人),0.82
1359,65歳以上人員(人),0.83
1360,65歳以上人員(人),0.81
1361,65歳以上人員(人),0.82
1362,65歳以上人員(人),0.81
1363,65歳以上人員(人),0.82
1364,65歳以上人員(人),0.82
1365,65歳以上人員(人),0.83
1366,65歳以上人員(人),0.84
1367,65歳以上人員(人),0.84
1368,65歳以上人員(人),0.85
1369,65歳以上人員(人),0.85
1370,65歳以上人員(人),0.85
1371,65歳以上人員(人),0.85
1372,65歳以上人員(人),0.85
1373,65歳以上人員(人),0.86
1374,65歳以上人員(人),0.85
1375,65歳以上人員(人),0.85
1376,65歳以上人員(人),0.86
1377,65歳以上人員(人),0.87
1378,65歳以上人員(人),0.86
1379,65歳以上人員(人),0.86
1380,65歳以上人員(人),0.86
1381,65歳以上人員(人),0.86
1382,65歳以上人員(人),0.85
1383,65歳以上人員(人),0.85
1384,65歳以上人員(人),0.85
1385,65歳以上人員(人),0.85
1386,65歳以上人員(人),0.84
1387,65歳以上人員(人),0.84
1388,65歳以上人員(人),0.84
1389,65歳以上人員(人),0.84
1390,65歳以上人員(人),0.84
1391,65歳以上人員(人),0.84
1392,65歳以上人員(人),0.83
1393,65歳以上人員(人),0.82
1394,65歳以上人員(人),0.83
1395,65歳以上人員(人),0.83
1396,65歳以上人員(人),0.82
1397,65歳以上人員(人),0.82
1398,65歳以上人員(人),0.81
1399,65歳以上人員(人),0.82
1400,65歳以上人員(人),0.83
1401,65歳以上人員(人),0.83
1402,65歳以上人員(人),0.83
1403,65歳以上人員(人),0.83
1404,うち無職者人員(人),0.41
1405,うち無職者人員(人),0.41
1406,うち無職者人員(人),0.41
1407,うち無職者人員(人),0.41
1408,うち無職者人員(人),0.41
1409,うち無職者人員(人),0.42
1410,うち無職者人員(人),0.42
1411,うち無職者人員(人),0.42
1412,うち無職者人員(人),0.42
1413,うち無職者人員(人),0.42
1414,うち無職者人員(人),0.43
1415,うち無職者人員(人),0.42
1416,うち無職者人員(人),0.43
1417,うち無職者人員(人),0.44
1418,うち無職者人員(人),0.44
1419,うち無職者人員(人),0.45
1420,うち無職者人員(人),0.44
1421,うち無職者人員(人),0.44
1422,うち無職者人員(人),0.44
1423,うち無職者人員(人),0.44
1424,うち無職者人員(人),0.45
1425,うち無職者人員(人),0.44
1426,うち無職者人員(人),0.44
1427,うち無職者人員(人),0.45
1428,うち無職者人員(人),0.43
1429,うち無職者人員(人),0.45
1430,うち無職者人員(人),0.45
1431,うち無職者人員(人),0.46
1432,うち無職者人員(人),0.46
1433,うち無職者人員(人),0.47
1434,うち無職者人員(人),0.47
1435,うち無職者人員(人),0.47
1436,うち無職者人員(人),0.47
1437,うち無職者人員(人),0.47
1438,うち無職者人員(人),0.47
1439,うち無職者人員(人),0.47
1440,うち無職者人員(人),0.47
1441,うち無職者人員(人),0.47
1442,うち無職者人員(人),0.47
1443,うち無職者人員(人),0.46
1444,うち無職者人員(人),0.47
1445,うち無職者人員(人),0.47
1446,うち無職者人員(人),0.48
1447,うち無職者人員(人),0.47
1448,うち無職者人員(人),0.48
1449,うち無職者人員(人),0.48
1450,うち無職者人員(人),0.48
1451,うち無職者人員(人),0.48
1452,うち無職者人員(人),0.47
1453,うち無職者人員(人),0.47
1454,うち無職者人員(人),0.48
1455,うち無職者人員(人),0.48
1456,うち無職者人員(人),0.47
1457,うち無職者人員(人),0.47
1458,うち無職者人員(人),0.48
1459,うち無職者人員(人),0.48
1460,うち無職者人員(人),0.47
1461,うち無職者人員(人),0.47
1462,うち無職者人員(人),0.47
1463,うち無職者人員(人),0.48
1464,うち無職者人員(人),0.48
1465,うち無職者人員(人),0.49
1466,うち無職者人員(人),0.49
1467,うち無職者人員(人),0.5
1468,うち無職者人員(人),0.49
1469,うち無職者人員(人),0.49
1470,うち無職者人員(人),0.5
1471,うち無職者人員(人),0.49
1472,うち無職者人員(人),0.5
1473,うち無職者人員(人),0.49
1474,うち無職者人員(人),0.49
1475,うち無職者人員(人),0.5
1476,うち無職者人員(人),0.51
1477,うち無職者人員(人),0.5
1478,うち無職者人員(人),0.51
1479,うち無職者人員(人),0.51
1480,うち無職者人員(人),0.52
1481,うち無職者人員(人),0.51
1482,うち無職者人員(人),0.51
1483,うち無職者人員(人),0.52
1484,うち無職者人員(人),0.51
1485,うち無職者人員(人),0.51
1486,うち無職者人員(人),0.51
1487,うち無職者人員(人),0.52
1488,うち無職者人員(人),0.53
1489,うち無職者人員(人),0.54
1490,うち無職者人員(人),0.55
1491,うち無職者人員(人),0.54
1492,うち無職者人員(人),0.54
1493,うち無職者人員(人),0.54
1494,うち無職者人員(人),0.54
1495,うち無職者人員(人),0.54
1496,うち無職者人員(人),0.54
1497,うち無職者人員(人),0.53
1498,うち無職者人員(人),0.53
1499,うち無職者人員(人),0.53
1500,うち無職者人員(人),0.53
1501,うち無職者人員(人),0.53
1502,うち無職者人員(人),0.53
1503,うち無職者人員(人),0.53
1504,うち無職者人員(人),0.53
